epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8589,1.01069,3.00568,1.50299,0.50553,0.19711,0.16224,0.10483,1.48121,2.51811,1.73528,0.000299633,0.000299633,0.000299633
2,43.0567,0.88208,1.78669,1.39219,0.41022,0.12556,0.10873,0.05737,1.76827,3.71455,2.05742,0.000572803,0.000572803,0.000572803
3,64.1529,0.9054,1.78077,1.41923,0.24798,0.24328,0.11223,0.05362,1.73454,inf,1.94444,0.000815976,0.000815976,0.000815976
4,85.4325,0.91904,1.73337,1.42794,0.82265,0.10694,0.15595,0.12439,1.47376,inf,1.81045,0.000774013,0.000774013,0.000774013
5,106.418,0.87254,1.63178,1.4001,0.54013,0.24698,0.22878,0.14967,1.42671,2.34184,1.7082,0.000729018,0.000729018,0.000729018
6,127.378,0.80519,1.51137,1.33773,0.63657,0.22969,0.24526,0.17687,1.39198,2.44387,1.67706,0.000684022,0.000684022,0.000684022
7,148.359,0.82381,1.51103,1.35773,0.55397,0.28092,0.23697,0.18174,1.28717,2.20467,1.6608,0.000639027,0.000639027,0.000639027
8,169.466,0.76909,1.42919,1.32629,0.63164,0.29537,0.27509,0.18423,1.38645,2.20386,1.68372,0.000594031,0.000594031,0.000594031
9,190.419,0.74873,1.37024,1.30404,0.58772,0.30075,0.26665,0.16518,1.38644,2.13877,1.63639,0.000549036,0.000549036,0.000549036
10,211.357,0.74784,1.32031,1.29483,0.69418,0.30409,0.31653,0.20623,1.35614,2.03865,1.57323,0.00050404,0.00050404,0.00050404
11,233.123,0.92046,1.50266,1.526,0.69974,0.29018,0.29698,0.20349,1.26839,2.12958,1.5378,0.000459045,0.000459045,0.000459045
12,254.254,0.88026,1.38796,1.49975,0.65243,0.31559,0.30377,0.21604,1.20972,1.9777,1.51902,0.000414049,0.000414049,0.000414049
13,275.316,0.83744,1.33866,1.44362,0.6769,0.31766,0.32389,0.23445,1.24971,1.97899,1.53908,0.000369054,0.000369054,0.000369054
14,296.496,0.83099,1.27211,1.4412,0.66415,0.31634,0.30045,0.21021,1.21518,1.88113,1.47257,0.000324058,0.000324058,0.000324058
15,317.48,0.78723,1.19661,1.40904,0.66604,0.36132,0.34717,0.24377,1.16384,1.79721,1.46333,0.000279063,0.000279063,0.000279063
16,338.432,0.77862,1.11991,1.40021,0.7802,0.34487,0.37701,0.27474,1.14562,1.88056,1.44525,0.000234068,0.000234068,0.000234068
17,359.332,0.73903,1.05965,1.36427,0.72891,0.37545,0.40569,0.29639,1.13321,1.74645,1.39261,0.000189072,0.000189072,0.000189072
18,380.208,0.73197,1.02469,1.36369,0.71884,0.3545,0.40511,0.28087,1.14879,1.7395,1.42535,0.000144077,0.000144077,0.000144077
19,401.011,0.70214,0.98815,1.32707,0.71829,0.36941,0.37616,0.27787,1.13107,1.84947,1.38801,9.9081e-05,9.9081e-05,9.9081e-05
20,421.835,0.69374,0.95873,1.32609,0.56398,0.45264,0.44127,0.31705,1.11641,1.7325,1.38258,5.40855e-05,5.40855e-05,5.40855e-05
