epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72212,0.46568,2.0985,1.16395,0.84892,0.07714,0.1027,0.07284,0.86892,2.53,1.15879,0.000407197,0.000407197,0.000407197
2,13.0233,0.31736,1.24047,1.05033,0.79531,0.12429,0.04575,0.02426,1.60675,3.17272,1.85313,0.000783082,0.000783082,0.000783082
3,18.2749,0.32682,1.12136,1.05107,0.71023,0.24164,0.22988,0.20706,0.58196,1.42266,0.96183,0.00111772,0.00111772,0.00111772
4,23.5172,0.31298,1.01178,1.05035,0.93026,0.19571,0.20899,0.14364,0.74985,1.6307,1.18437,0.00106437,0.00106437,0.00106437
5,28.676,0.30971,0.94343,1.03908,0.97022,0.23571,0.24352,0.2286,0.43147,1.0113,0.80069,0.0010025,0.0010025,0.0010025
6,33.8772,0.28833,0.86578,1.04414,0.77061,0.26982,0.27324,0.22944,0.56435,1.08841,0.89878,0.000940625,0.000940625,0.000940625
7,39.0942,0.27507,0.82062,1.01857,0.46563,0.30518,0.2624,0.23554,0.55463,2.2806,0.87772,0.00087875,0.00087875,0.00087875
8,44.2909,0.2687,0.83044,1.02052,0.41557,0.38089,0.28281,0.21134,0.63598,1.30399,0.93353,0.000816875,0.000816875,0.000816875
9,49.4637,0.23993,0.77066,0.99846,0.96965,0.22749,0.25198,0.23913,0.40097,0.82108,0.68094,0.000755,0.000755,0.000755
10,54.649,0.23702,0.75084,1.0056,0.46853,0.30821,0.26425,0.24725,0.39158,0.73427,0.69531,0.000693125,0.000693125,0.000693125
11,60.544,0.23892,0.94986,1.08454,0.48681,0.27839,0.28905,0.25433,0.39284,0.85166,0.71917,0.00063125,0.00063125,0.00063125
12,65.7048,0.22281,0.78546,1.07431,0.31231,0.39564,0.31005,0.28254,0.42744,0.75625,0.74838,0.000569375,0.000569375,0.000569375
13,70.8151,0.21162,0.74681,1.04207,0.74885,0.27575,0.28618,0.26497,0.28984,0.68505,0.6004,0.0005075,0.0005075,0.0005075
14,75.9235,0.19085,0.67022,1.03917,0.28555,0.39232,0.30771,0.28888,0.34738,0.69659,0.6615,0.000445625,0.000445625,0.000445625
15,81.065,0.18083,0.65993,1.01457,0.26165,0.4625,0.3245,0.29844,0.33537,0.71665,0.62316,0.00038375,0.00038375,0.00038375
16,86.2062,0.18473,0.62649,1.01888,0.53683,0.45964,0.39811,0.34023,0.30298,0.75351,0.61717,0.000321875,0.000321875,0.000321875
17,91.3621,0.16651,0.57799,1.00284,0.38017,0.44536,0.37185,0.31519,0.30946,0.65486,0.63752,0.00026,0.00026,0.00026
18,96.5224,0.16256,0.58158,1.00167,0.38089,0.50745,0.42435,0.37214,0.29142,0.71296,0.59779,0.000198125,0.000198125,0.000198125
19,101.686,0.15992,0.57723,1.00252,0.38956,0.44679,0.4138,0.37909,0.3093,0.74127,0.61833,0.00013625,0.00013625,0.00013625
20,106.841,0.14019,0.52582,0.98621,0.42439,0.49536,0.43115,0.38237,0.31334,0.67151,0.61235,7.4375e-05,7.4375e-05,7.4375e-05
