epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,107.971,0.43468,1.80562,1.17892,0.53505,0.60424,0.59695,0.57523,0.46501,0.92928,0.6536,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254
2,209.744,0.30289,0.90465,1.05623,0.77372,0.57313,0.60853,0.54723,0.56141,0.94689,0.72017,0.0197784,0.00659281,0.0197784,0.00659281,0.0197784,0.00659281,0.0197784,0.00659281
3,309.04,0.3515,0.92085,1.07521,0.91437,0.47584,0.54169,0.50104,0.57003,1.26127,0.77892,0.0293827,0.00979422,0.0293827,0.00979422,0.0293827,0.00979422,0.0293827,0.00979422
4,407.925,0.362,0.92005,1.07937,0.69948,0.48789,0.55215,0.52372,0.47981,1.15928,0.60991,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,506.528,0.32633,0.86053,1.06018,0.5737,0.5686,0.57237,0.54278,0.54232,1.01269,0.61996,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,605.063,0.31336,0.80368,1.05499,0.84063,0.60295,0.61837,0.58906,0.40106,0.66535,0.51294,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,703.604,0.28898,0.7706,1.04228,0.68558,0.64175,0.62729,0.59793,0.39387,0.65085,0.52004,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,802.291,0.26991,0.71947,1.02756,0.54845,0.64217,0.61961,0.59382,0.41611,0.68671,0.52596,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,900.784,0.26855,0.70561,1.02903,0.60882,0.63945,0.63658,0.60089,0.40035,0.75115,0.48914,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,999.248,0.24602,0.66581,1.01828,0.59611,0.62922,0.64242,0.61129,0.32983,0.74735,0.4421,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1097.73,0.2445,0.65583,1.01538,0.80668,0.63522,0.65288,0.61258,0.35939,0.56965,0.44793,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1196.23,0.23731,0.62796,1.01294,0.69814,0.69636,0.6706,0.62415,0.35834,0.49717,0.46887,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1294.67,0.23271,0.61207,1.00741,0.70434,0.68158,0.65619,0.61345,0.35167,0.53931,0.43877,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1393.03,0.22475,0.60189,1.00507,0.69992,0.67983,0.67836,0.62826,0.39008,0.52188,0.49797,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1491.6,0.22578,0.60238,1.00629,0.67119,0.6813,0.6533,0.61766,0.36944,0.53287,0.46487,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1590.21,0.21802,0.57797,1.00274,0.64534,0.60308,0.64035,0.6026,0.41141,0.84812,0.5307,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1688.8,0.21343,0.57151,1.0007,0.6956,0.70278,0.66932,0.62505,0.33656,0.45354,0.42993,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1787.27,0.2118,0.54949,0.9954,0.65345,0.69654,0.67142,0.62603,0.39547,0.51048,0.49296,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1885.64,0.20354,0.54895,0.98959,0.69546,0.69514,0.68895,0.63179,0.35663,0.50514,0.45861,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1984.15,0.20402,0.54221,0.99475,0.76889,0.67762,0.69185,0.63638,0.34409,0.48928,0.43158,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2082.81,0.21178,0.54352,1.00186,0.72417,0.6714,0.68413,0.63163,0.32318,0.5593,0.42438,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
